path,status,category,notes
scripts/stocks/backtest_high_price_daily_best_context_2024_2026.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_high_price_first15_atr_exits_for_date.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_historical_activated_intraday.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_historical_activated_intraday_short.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_historical_best_setups_1m.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/backtest_today_scanner_exits.py,review,backtest,Backtest script; check whether still current.
scripts/stocks/build_10y_cheap_open_activation_features.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_cheap_open_activation_tasks.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_daily_regime_event_tasks.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_daily_regime_event_tasks_pilot.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_extended_hours_event_tasks.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_extended_hours_features_pilot.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_full_1to5_open_activation_tasks.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_high_price_short_fade_expanded_features.broken.py,archive,broken_or_backup,Move out of active scripts folder.
scripts/stocks/build_10y_high_price_short_fade_expanded_features.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_high_price_short_fade_expanded_features.syntax_bad.py,archive,broken_or_backup,Move out of active scripts folder.
scripts/stocks/build_10y_high_price_short_fade_expanded_tasks.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_high_price_short_fade_features.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_high_price_short_fade_pilot_tasks.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_10y_price_x_volume_percentile_tasks.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_50_plus_weekly_signal_report.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_50_plus_weekly_signal_report_v2.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_activated_stock_lists.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_daily_scanner_outputs.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_historical_activated_candidates.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_massive_common_stock_reference.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_massive_snapshot_stock_list.py,review,builder,Builds datasets/tasks/features; verify inputs and outputs.
scripts/stocks/build_today_final_scanner_view.py,keep,scanner_pipeline,Today/live scanner pipeline.
scripts/stocks/check_10_to_50_cache_coverage.py,review,helper_or_summary,Helper/summary/validation script.
scripts/stocks/compare_a_vs_equal_size_c.py,review,helper_or_summary,Helper/summary/validation script.
scripts/stocks/compare_prior_last15_filter_trade_counts.py,review,helper_or_summary,Helper/summary/validation script.
scripts/stocks/confirm_first_15m_volume.py,review,helper_or_summary,Helper/summary/validation script.
scripts/stocks/count_today_price_regime_ratio.py,review,helper_or_summary,Helper/summary/validation script.
scripts/stocks/enrich_and_rank_past_week_prior_last15_direct.py,review,uncategorized,
scripts/stocks/enrich_today_scanner_with_massive_fundamentals.py,keep,scanner_pipeline,Today/live scanner pipeline.
scripts/stocks/enrich_today_scanner_with_massive_fundamentals_v2.py,keep,scanner_pipeline,Today/live scanner pipeline.
scripts/stocks/merge_today_risk_labels_into_scanner_outputs.py,keep,scanner_pipeline,Today/live scanner pipeline.
scripts/stocks/rank_past_week_prior_last15_signals.py,review,research_helper,Research helper script.
scripts/stocks/run_today_final_scanner_pipeline.py,keep,scanner_pipeline,Today/live scanner pipeline.
scripts/stocks/scan_high_price_first15_rvol_signals_for_range.py,keep,scanner_pipeline,Scanner/range scan script.
scripts/stocks/summarize_50_plus_gap_down_3candle_liquid.py,review,helper_or_summary,Helper/summary/validation script.
scripts/stocks/sweep_first15_return_range_caps_context.py,review,research_helper,Research helper script.
scripts/stocks/test_50_plus_gap_down_3candle_color_patterns.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_gap_down_liquidity_filters.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_gap_down_setups_fullsample.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_hot_premarket_short_refinements.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_long_first5_pullback_reclaim.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_long_first5_structures_fullsample.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_long_first5_three_up_structure.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_long_red_red_green_reclaim.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_short_5m_confirmation.py,review,research_test,Research experiment/test script.
scripts/stocks/test_50_plus_short_first5_structure.py,review,research_test,Research experiment/test script.
scripts/stocks/test_daily_best_exit_rules_past_week.py,review,research_test,Research experiment/test script.
scripts/stocks/test_mid_5_to_50_gapdown_short_rrr_rgr_rrg.py,review,research_test,Research experiment/test script.
scripts/stocks/validate_50_plus_surviving_setups.py,review,helper_or_summary,Helper/summary/validation script.
